aerialWonPerGame,ap,assistTotal,goal,manOfTheMatch,minsPlayed,passSuccess,player_name,player_url,team_url,rank,rating,redCard,rgn,shotsPerGame,yellowCard,age,pos_AM(LR),pos_AM(L),pos_M(LR),pos_Midfielder,pos_D(CL),pos_AM(CR),pos_M(R),pos_FW,pos_Forward,pos_D(CR),pos_Goalkeeper,pos_AM(CLR),pos_Defender,pos_M(L),pos_M(C),pos_M(CLR),pos_M(CR),pos_D(L),pos_D(LR),pos_GK,pos_AM(C),pos_D(C),pos_AM(R),pos_DMC,pos_D(R),pos_AM(CL),pos_D(CLR),pos_M(CL),team
1.3,34,3.0,1.0,2.0,2883.0,82.1,Gabi,https://www.whoscored.com/Players/10053,https://www.whoscored.com/Teams/63,30,7.22,1.0,es,0.5,11.0,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Atletico Madrid
2.1,27,1.0,1.0,1.0,2430.0,73.3,Giménez,https://www.whoscored.com/Players/135914,https://www.whoscored.com/Teams/63,31,7.22,0.0,uy,0.4,8.0,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atletico Madrid
3.2,23,1.0,2.0,3.0,2008.0,73.5,Ignacio Camacho,https://www.whoscored.com/Players/35199,https://www.whoscored.com/Teams/69,32,7.22,1.0,es,1.0,7.0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Malaga
0.2,20,2.0,5.0,4.0,1726.0,82.9,Éver Banega,https://www.whoscored.com/Players/33724,https://www.whoscored.com/Teams/67,33,7.21,1.0,ar,1.6,6.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Sevilla
0.2,10,6.0,4.0,1.0,1231.0,85.8,Lucas Vázquez,https://www.whoscored.com/Players/144511,https://www.whoscored.com/Teams/52,34,7.21,0.0,es,0.9,4.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Real Madrid
1.6,26,0.0,3.0,2.0,2353.0,84.5,Pedro Bigas,https://www.whoscored.com/Players/108100,https://www.whoscored.com/Teams/838,35,7.2,0.0,es,0.6,5.0,26,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Las Palmas
0.4,36,9.0,10.0,5.0,3121.0,81.9,Jonathan Viera,https://www.whoscored.com/Players/91304,https://www.whoscored.com/Teams/838,36,7.19,0.0,es,2.4,4.0,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Las Palmas
3.0,30,2.0,0.0,2.0,2608.0,71.7,Weligton,https://www.whoscored.com/Players/13289,https://www.whoscored.com/Teams/69,37,7.18,0.0,br,0.1,5.0,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Malaga
1.1,15,1.0,1.0,0.0,1338.0,90.3,Augusto Fernández,https://www.whoscored.com/Players/25956,https://www.whoscored.com/Teams/62,38,7.17,0.0,ar,0.6,7.0,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Celta Vigo
0.9,30,2.0,7.0,2.0,2581.0,88.1,Ivan Rakitic,https://www.whoscored.com/Players/22732,https://www.whoscored.com/Teams/65,39,7.17,0.0,hr,1.3,3.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Barcelona
